fetched_at_utc,port_status,vehicle_delay_min,vehicle_lanes_open,pedestrian_delay_min,pedestrian_lanes_open
2026-08-07T00:52:19.785Z,Open,30,5,5,2
2026-08-07T00:58:16.159Z,Open,30,5,5,2
2026-08-07T01:50:29.444Z,Open,30,5,5,2
2026-08-07T02:58:59.015Z,Open,30,5,5,2
2026-08-07T04:01:41.305Z,Open,30,5,5,2
2026-08-07T04:58:26.828Z,Open,30,5,5,2
2026-08-07T05:35:21.102Z,Open,30,5,5,2
2026-08-07T06:02:28.510Z,Open,30,5,5,2
2026-08-07T06:44:53.080Z,Open,35,5,5,2
2026-08-07T07:28:28.411Z,Open,35,5,5,2
2026-08-07T08:02:14.059Z,Open,35,5,5,2
2026-08-07T08:38:19.178Z,Open,35,5,5,2
2026-08-07T09:03:40.943Z,Open,35,5,5,2
